Excel (v.1.4),,"m6+ | m4+
light = not anointable",,"World
Drop",,,9/10 Patch Notes,,,Online Spreadsheet,,,,Re-copy to update,,
,,,,,,,,,,,,,,,,
Brand,Type,Name,,Splash?,Element,WD,Can drop from,Quest / Challenge,Location,Summary,Main,Alternate,a/s,Red Text,,
,,,,,,,,,,,,,,,,
"A
T
L
A
S",AR,Carrier,,,N,TRUE,Judge Hightower,Crew Challenge,Lectra City,Splits in 2 and homing on impact,,,1,I have arrived.,,Carrier from StarCraft
,,O.P.Q. System,,Drone,N,,Josie/Franco,Revenge of the Cartels,Villa Ultraviolet,Drone copy shoots where you aim,,Drone,1,B.Y.O.B.B.,,The Simpsons S7E5
,,Portals and Shite,,,N,,Found in game files,,,,,Tracker,1,Thiis is beyond science.,,
,,Rebel Yell,,,N,TRUE,Sky Bullies,Crew Challenge,The Anvil,Trackers are shock dmg,,Tracker,1,"When you charge, yell like Furies.",,American Civil War battlecry
,Pistol,Linc,,,N,,Anointed Alpha,Malevolent Practice,The Anvil,Fast fire rate & bullet speed,,,1,Power is pizza.,,Parks & Recreation S6E10
,,Multi-tap,,,N,,Katagawa Ball,Space-Laser Tag,Skywell-27,Reload fires cryo rocket that homes in on tracked,,Tracker,1,Double the fun,,
,RPG,Freeman,,TRUE,N,,Warden,Hammerlocked,The Anvil,Laser guided missiles,,,1,The right man in the wrong place can make all the difference in the world.,,Half-Life 2
,,Plumage,,TRUE,N,TRUE,Wrendon Esk,Crew Challenge,The Blastplains,Marked enemies drop free tracking grenade on kill,8 rockets,Tracker,1,Quit peacocking around.,,"Peacocking means dressing for attention, (like peacock's plumage)"
,,Ruby's Wrath,,TRUE,N,TRUE,Chonk Stomp,Crew Challenge,Floodmoor Basin,Rockets home in on vortex,7 rockets,Vortex,1,No one can escape.,,
,,,,,,,,,,,,,,,,
"C
O
V",AR,Embrace the Pain,,,F,TRUE,?,?,?,Chance to light player on fire. Doesn't consume ammo while overheating,,,1-2,"It hurts, HAHAHAHAHA! IT HURTS!!",,Borderlands 2 Krieg Quote
,,NoPewPew,,,F,,Roaster/Tenderizer,Revenge of the Cartels,Villa Ultraviolet,"[x3, x4, x5] Gradual increase in fire rate",,,1-3,"Extra, extra spicy",,
,,Pain is Power,,,F,TRUE,Hot Karl,Crew Challenge,Devil's Razor,Damages player when fired. Lights player on fire when overheated,,,1-2,Nobody kills me but ME!,,Borderlands 2 Krieg Quote
,,Rebound,,,N F R,,Psychoreaver,Locus of Rage,Vaulthalla,"[x1, x2, x3] Shoots dynamite-attached-sawblades. Reverses after a distance",,,1-3,"Measure twice, cut twice!",,"Phrase in carpentry ""Measure twice and cut once"""
,,Sawbar,,TRUE,F,TRUE,Borman Nates,Rare Enemy,Meridian Outskirts,Bullets split into 3 projectiles. Extra projectiles explode,,,1,Supressing Fires!!!,,Fire Water Burn by Bloodhound Gang
,,Seeryul Killur,,,F,TRUE,World Drop Only,,Xylourgos,"Kill grants increased dmg, fire rate & reduces heat. Stacks 3x",,,1,Look at that unsubtle blood-red coloring...,,"American Psycho (2000) ""Look at that subtle off-white coloring."""
,,Stauros' Burn,,,F,,Wendigo,Horror in the Woods,The Cankerwood,"[x1, x2, x3] Chance to combust. Combust guarantees crit & +fire dmg",,,0,A long sigh was heard...,,
,,Zheitsev's Eruption,,Reload,Any,,Raging Titan,Slaughter Shaft,Slaughter Shaft,"When overheating, homing shots that debuff enemies up to 10x for +200% dmg",,,1-2,Pain and Misery erupt in the Void.,,
,Pistol,Gargoyle,,TRUE,C,TRUE,Dickon Goyle,Crew Challenge,Bloodsun Canyon,"[x1, x2, x3] Rapidly shoots projectiles and occasional globs of corrosive",,,2-4,Defender of the night.,,Gargoyles (1994) Disney
,,Hydrafrost,,,O,,Shiverous,Rare Enemy,Negul Neshai,"[x3, x4, x5] After a kill, every 2nd shot deals 200% shock/fire dmg for 6 sec",,,2-4,Tell your heads to chill.,,
,,Linoge,,,F C,TRUE,Lavender Crawly,Crew Challenge,The Droughts,Hail of slow ricocheting bullets,,,4,"My name is legion, for we are many",,Bible - Mark 5:9
,,Pestilence,,,R,,Sylestro,Crew Challenge,Tazendeer Ruins,Releases self-damaging radiation explosion when broken. High fire rate,,,1-2,"Go forth conquering, and to conquer.",,Bible - Revelation 6:2
,,Psycho Stabber,,,N,,Borman Nates,Rare Enemy,Meridian Outskirts, +120% melee damage,,,1,"Fa fa fa fa, fa fa fa fa fa fa...",,Psycho (1960) & Psycho Killer by Talking Heads
,,SkekSil,,Rockets,F C S,,Skrakk,Crew Challenge,Ascension Bluff,Burst-fire. Sends out 1-3 rockets after burst,,,1,"Get back, spithead!",,The Dark Crystal (1982)
,RPG,Globetrottr,,TRUE,Any N,,Scourge,Guardian Takedown,Minos Prime,[x3 or x6] Launches bouncing rockets,,,1-2,"Um allen heim, styttur hrynja fyrir mig.",,"Icelandic - Translation: Around the world, statues collapse for me."
,,Major Kong,,TRUE,F C S R,,Psychoreaver,Locus of Rage,Vaulthalla,[x1 or x2] Charging increases dmg & ammo cost. Spawns missiles on impact,,,2-8,Hi there!,,Dr Strangelove (1964)
,,Yellowcake,,TRUE,R,,Fish slap/Tyrone,Revenge of the Cartels,Villa Ultraviolet,Splits into 4 balls that drop and explode. High splash radius,,,1-2,I'm really more of a pie person.,,Yellowcake
,,,,,,,,,,,,,,,,
"D
A
H
L",AR,Barrage,,,N C R,TRUE,Buttmunch,Skag Dog Days,The Droughts,Very high accuracy. Very low recoil. High fire rate,3-r burst,Zoom,1,Quick maths.,,Man's Not Hot by Big Shaq
,,Breath of the Dying,,On kill,C,TRUE,Blinding Banshee,Crew Challenge,Desolation's Edge,Radial burst of orbs on kill that explode,Full-Auto,5-r burst,1,VexHeIEIEIdZodEth,,Diablo II: Lord of Destruction
,,Good Juju,,,Any,,The Rampager,Beneath the Meridian,Forgotten Basilica,Refills mag on kill. Non-crits grant +40% crit. stacks 25x,3-r burst,3-r burst,1,"Kinda, sorta wants to end all existence.",,Bad Juju from Destiny
,,Kaos,,On kill,F C S O,TRUE,Psychobillies,Crew Challenge,Ambermire,Enemies explode & can chain to nearby enemies,Auto,5-r burst,1,Grants the mystical art of exploding smallhands.,,"Grant Kao, game designer at Gearbox"
,,Star Helix,,,N S R O,TRUE,Power Troopers,Rare Enemy,Atlas HQ,Shoots additional 2 weaving bullets,Full-Auto,4-r burst,1,The stars are better off without us.,,"The Expanse author, James S.A. Corey Quote"
,,Soulrender,,Skulls,Any,,Tom & Xam,Call of Gythian,Heart's Desire,Homing purple ghosts that explode on impact,Auto,3-r burst,1,Picture a soul. Now REND that thing!,,Path of Exile
,,Warlord,,,N F C S,TRUE,Queen Ant Wanette,Just Desserts,The Splinterlands,30% chance to not consume ammo,Full-Auto,Zoom,≤1,My gun sings for your blood.,,Diablo Warlord of Blood Quote
,Pistol,AAA,,,S,TRUE,Wick and Warty,Rare Enemy,Lectra City,A-shape of shock projectiles,3-r burst,Zoom,1,Hold on! They're lithium!,,The Office (US) S6E12 Quote
,,Hornet,,TRUE,C,TRUE,Mother of Grogans,Rare Enemy,The Anvil,High splash radius,6-r burst,Zoom,1,Fear the Swarm!,,
,,Nemesis,,,F C,TRUE,Mouthpiece,Cult Following,Ascension Bluff,Deals additional shock dmg,Semi-Auto,3-r burst,1,A righteous infliction of retribution.,,Snatch (2000) Quote
,,Night Flyer,,,N,,Rakkman,Rare Enemy,Carnivora,Full-Auto while airborne. Dmg's enemy to 1HP,2-r burst,Zoom,1,I have one rule,,Batman
,,The Blanc,,,Any,TRUE,Ipswitch Dunne,Crew Challenge,The Blastplains,Hits grant +35% dmg on mode switch. Stacks 10x,Auto,4-r burst,1,This machine unerringly arrives at the truth.,,Knives Out (2019) Benoit Blanc Quote
,SMG,9-Volt,,,S,,Killavolt,Kill Killavolt,Lectra City,V-shape of shock projectiles,3-r burst,Zoom,1,Contact.,,
,,Blood-Starved Beast,,proc,Any N,,Evil Lilith,Siege of Castle C,Castle Crimson,[x2 or x3] Penetrating projectiles. Explosive chance,4-r burst,Auto,1-2,"Chaos, or some say Chaosm.",,Bloodborne
,,Boomer,,TRUE,N F,TRUE,Scraptrap Prime,One Man's Treasure,The Compactor,Explosive shots,Full-Auto,5-r burst,2,Some like it hot.,,Some Like It Hot (1959)
,,Crader's EM-P5,,,N,,Agonizer 9000,Blood Drive,Guts of Carnivora, +movement speed. +80% crit & +acc while airborne,Full-Auto Only,,1-2,Dust off the beta EMP5.,,Buggy MP5 in Counter Strike 1.6 & Counter Strike: Condition Zero
,,Hellfire,,TRUE,F,,Jabbermogwai,Crew Challenge,Voracious Canopy,High status effect chance & dmg,Full-Auto,Zoom,1-2,We don't need no... something...,,The Roof is on Fire by Rock Master Scott & The Dynamic Three
,,Kaoson,,TRUE,Any,,Captain Traunt,The Impending Storm,Athenas,Sticky explosive. Splash on impact & explode,Auto,4-r burst,1-2,Small but packs a punch.,,
,,Night Hawkin,,,FO,TRUE,Demoskaggons,Rare Enemy,The Droughts,Cryo during the day. Fire & extra projectiles at night,Auto,4-r burst,1,Stranger than things.,,Stranger Things
,,Ripper,,,Any,TRUE,Shiv,Children of the Vault,Covenant Pass,Enemies you melee take x2 bullet dmg from ripper,Auto,5-r burst,1-2,They say I'm a doctor now.,,Jack the Ripper
,,Sleeping Giant,,,N F C S,TRUE,One Punch,Rare Enemy,Lectra City,Reload has chance to grant weapon bonuses,Full-Auto,4-r burst,1-2,Infinite path carved with unrivaled skill.,,Sleeping Giant by Mastodon
,,Vanquisher,,,Any,TRUE,Power Troopers,Rare Enemy,Atlas HQ, x2 fire rate while sliding. +20% slide speed,Full-Auto,4-r burst,1,Slide forward into your cave.,,Fight Club
,Sniper,AutoAimè,,,N F C S,TRUE,Freddie the Traitor,All Bets Off,VIP Tower,Shoots homing lasers,Full-Auto,2-r burst,1,OGC HOOKED.,,"""OGC Aimbot"", a cheating software for Counter Strike: Global Offensive"
,,Sand Hawk,,,Any N,,Katagawa Jr.,"Atlas, At Last",Atlas HQ,Line of 7 projectiles that move like the wings of a bird,Semi-Auto,3-r burst,3,Wedge a pig.,,
,,Stalker,,,O,,Loot Ghosts,Bloody Harvest,The Heck Hole, +projectile per terror stack. 3-round burst,Vertical,Horizontal,2,All that remains is an icy husk.,,World of Warcraft Lich King Quote
,,Malak's Bane,,,F O,TRUE,Phoenix,Crew Challenge,The Splinterlands,Ricochets. Shotgun mode fires balls of >element<,Semi-Auto,Shotgun,2,Welcome to the end.,,Welcome to the End by Celldweller
,,,,,,,,,,,,,,,,
"H
Y
P
E
R
I
O
N",Shotgun,Brainstormer,,,S,TRUE,Katagawa Ball,Space-Laser Tag,Skywell-27,[x7 or x14] Chains shock to nearby enemies. Lightning Bolt spread pattern,,,1-2,Let's put our heads together.,,Common phrase
,,Conference Call,,,Any,TRUE,Judge Hightower,Crew Challenge,Lectra City,[x5] Spawns horizontal side-swiping pellets,,,1,Let's just ping everyone all at once,,
,,Convergence,,,Any,TRUE,Dr. Benedict,Inhuman Trials,Benediction of Pain,"[x3, x4, x8] On hit, spawn converging projectiles around enemy",,,1-2,"At the summit, you will find yourselves united.",,"Omega Point by French philosopher, Pierre Teilhard de Chardin"
,,Face-puncher,,,N,TRUE,Muldock,Guns of Reliance,Floodmoor Basin,[x7 or x14] Shoots your melee dmg,,,1-2,Man your own jackhammer.,,In Keeping Secrets of Silent Earth: 3 by Coheed and Cambria
,,Fearmonger,,TRUE,Any N,,Loot Ghosts,Bloody Harvest,The Heck Hole,[x4 or x8] +pellets per terror level up to 7. Sticky exploding projectiles,,,2-3,"I can't control their fear, only my own.",,Avengers: Endgame Scarlet Witch Quote
,,Heart Breaker,,,F C S O,TRUE,Georgous Armada,Crew Challenge,The Compactor,[x8 or x16] Heals when damaging enemy. Heart shaped projectile pattern,,,1-2,I don't want to set the world on fire...,,I Don't Want to Set the World on Fire by The Ink Spots
,,Iceburger,,Burgers,F,,Roaster/Tenderizer,Revenge of the Cartels,Villa Ultraviolet,Shoots continuous fire laser and frozen burgers,,,1,90% of the flavor is under the bun.,,
,,Phebert,,,Any,,Wick and Warty,Rare Enemy,Lectra City,[x2] Shoots slug rounds. Hitscan,,,2,Faster than all estimates.,,Rick and Morty TV Series
,,Reflux,,,C,,GenIVIV,The Family Jewel,Voracious Canopy,[x7 or x14] Chains corrosive to nearby enemies. Biohazard projectile pattern,,,1-2,That's gotta burn.,,
,,Slow Hand,,TRUE,Any N,TRUE,DEGEN-3,Crew Challenge,Impound Deluxe,[x1 or x2] Heals you when damaging enemy. Slow explosive projectiles,,,2-3,"Take your time, sugar...",,Moxxi
,,The Butcher,,,Any,TRUE,Raging Titan,Slaughter Shaft,Slaughter Shaft,[x3 or x6] Chance for free shot. Full auto. Very high fire rate & accuracy,,,1-2,Fresh Meat!,,Diablo
,SMG,Bitch,,,Any,TRUE,Tyreen,Divine Retribution,Destroyer's Rift,"High crit modifier, accuracy and fire rate",,,1,If you can't handle me at my worst...,,Common phrase
,,Cheap Tips,,,Any,TRUE,Jackpot,All Bets Off,VIP Tower,Hits have 10% chance to drop chips that grant +10% wpn dmg for 12s,,,1,I'll get home early from work.,,I Want You to Want Me by Cheap Trick
,,Crossroad,,,Any N,TRUE,Big Donny,Blood Drive,The Splinterlands,[x3] 6-round burst. Alternating diagonal spread pattern,,,2,Open the gate for me.,,"Papa Legba, West African & Carribean voodoo god"
