Created By: SSpyR or u/Keiosuu,,,,
World Drop Viability Not Noted,,,,
"For Drop Locations and Other Information, See Lootlemon by Levin",,,,
Name,Type,Enemy/Quest,Drop Rate,Notes
12 Pounder,,Big Sleep,33%,
Actualizer,,Hyperius,0.29%,
Ahab,,Master Gee (UVHM)/Master Gee,33%/0.5%,Rates Listed in Order
Avenger,,Tubbies (62+)/OMGWTH/Loot Midgets (51+),0.8%/13%/0.17%,Rates Listed in Order
Baby Maker,,Madame Von Bartlesby,10%,
Bad Touch,,Moxxis Jar,N/A,
Badaboom,,King Mong,5.00%,
Bearcat,,Tubbies (62+)/OMGWTH/Loot Midgets (51+),0.8%/13%/0.17%,Rates Listed in Order
Bekah,,Tubbies (62+),0.80%,
Bitch,,BNK-3R/Master Gee,3.3%/1.6%,Rates Listed in Order
Blockhead,,Badass Creeper,6.25%,
Bone Shredder,,Bone Head 2.0/Bone Head v3.0/Arguk the Butcher,33.00%,All Enemies Have Same Rate
Bunny,,Chubby Enemies/Tubbies (62+),25%/5%,Rates Listed in Order
Butcher,,Tubbies (62+)/OMGWTH/Loot Midgets (51+),0.8%/13%/0.17%,Rates Listed in Order
Carnage,,Tubbies (62+),0.80%,
CHOPPER,,Dexiduous,33.00%,
Cobra,,Burners,~0.02%,
Commerce,,Assassin Wot/Digistruct Assassin Wot,33%,Both Enemies Have Same Rate
Conference Call,,Warrior/Handsome Sorcerer,1.25%/4.125%,Rates Listed in Order
Damned Cowboy,,Bloodtail,33%,
Deliverance,,Tumbaa/Gold Golem,10%/1.951%,Rates Listed in Order
Devastator,,Master Gee (UVHM)/Hyperius,33%/0.286%,Rates Listed in Order
Dog,,Assassin Rouf/Digistruct Assassin Rouf,33%,Both Enemies Have Same Rate
Elephant Gun,,Arizona,33%,
Emperor,,Assassins/Digistruct Assassins,5%/1.25%,Rates Listed in Order
Flakker,,Warrior/Handsome Sorcerer,1.25%/4.125%,Rates Listed in Order
Florentine,,Seraph Vendor,N/A,
Fremingtons Edge,,Assassin Reeth/Digistruct Assassin Reeth,33.00%,Both Enemies Have Same Rate
Godfinger,,Tubbies (62+),0.80%,
Greed,,Captain Scarlett,100%,
Gub,,Laney White,10%,
Gunerang,,RakkMan/Master Gee,10%/1.667%,Rates Listed in Order
Hammer Buster,,McNally,10.00%,
Hawk Eye,,Voracidous (UVHM)/Voracidous/Omnd-Omnd-Ohk/Dexiduous (3x),50%/0.5%/0.5%/0.5%,Rates Listed in Order
Hellfire,,Scorch/Digistruct Scorch/Sully the Blacksmith,10%,All Enemies Have Same Rate
Hive,,Saturn/Saturn v2.0,3.30%,Both Enemies Have Same Rate
Hornet,,Knuckle Dragger/Hyperius,10%/2%,Rates Listed in Order
Infection,,Voracidous/Omnd-Omnd-Ohk/Dexiduous (3x),0.50%,All Enemies Have Same Rate
